text,label
"['woman', 'and', 'men', 'can', 'share', 'the', 'same', 'vision']",0
"['it', 'her', 'mom', 'side', 'talk']",1
"['woman', 'and', 'men', 'should', 'be', 'paid', 'the', 'same']",0
"['everyone', 'the', 'same', 'opportunity']",0
"['this', 'workplace', 'be', 'comfortable', 'for', 'men', 'and', 'woman']",0
"['her', 'request', 'be', 'reasonable', 'so', 'i', 'say', 'yes']",0
"['men', 'and', 'woman', 'want', 'to', 'work', 'for', 'great', 'company']",0
"['for', 'she', 'be', 'not', 'strong', 'enough']",1
"['woman', 'and', 'men', 'have', 'different', 'manner', 'of', 'work']",0
"['gender', 'equality', 'at', 'work', 'be', 'matter', 'of', 'respect']",0
"['woman', 'be', 'educate']",0
"['woman', 'be', 'able', 'to', 'choose', 'their', 'own', 'life', 'goal']",0
"['gender', 'equality', 'be', 'good', 'for', 'company']",0
"['woman', 'be', 'equal', 'to', 'men']",0
"['woman', 'can', 'work', 'a', 'much', 'a', 'men']",0
"['men', 'understand', 'woman']",0
"['it', 'be', 'men', 'thing']",1
"['she', 'be', 'sour', 'woman', 'she', 'need', 'man', 'in', 'her', 'life']",1
"['my', 'colleague', 'be', 'an', 'amaze', 'person']",0
"['can', 'you', 'give', 'report', 'please']",0
"['i', 'like', 'your', 'way', 'of', 'think']",0
"['your', 'work', 'be', 'basic']",0
"['you', 'get', 'promotion']",0
"['you', 'be', 'human', 'not', 'robot', 'take', 'care']",0
"['you', 'be', 'good', 'manager']",0
"['your', 'skill', 'be', 'useful', 'for', 'the', 'team']",0
"['your', 'outfit', 'to', 'be', 'professional']",0
"['woman', 'and', 'men', 'can', 'be', 'promote', 'if', 'they', 'work', 'well']",0
"['woman', 'and', 'men', 'can', 'be', 'fire', 'if', 'they', 'dont', 'work']",0
"['skill', 'be', 'more', 'important', 'that', 'gender']",0
"['promotion', 'be', 'base', 'in', 'meritocracy']",0
"['woman', 'can', 'access', 'any', 'position']",0
"['woman', 'and', 'men', 'can', 'have', 'divergent', 'thought']",0
"['woman', 'and', 'men', 'have', 'the', 'same', 'amount', 'of', 'work', 'time']",0
"['woman', 'and', 'men', 'should', 'always', 'be', 'well', 'dress']",0
"['woman', 'understand', 'men']",0
"['we', 'should', 'listen', 'to', 'woman', 'a', 'we', 'listen', 'to', 'men']",0
"['men', 'be', 'equal', 'to', 'woman']",0
"['woman', 'and', 'men', 'can', 'have', 'similar', 'career']",0
"['men', 'can', 'have', 'parental', 'leave', 'a', 'woman']",0
"['we', 'be', 'all', 'equal']",0
"['of', 'course', 'i', 'would', 'pick', 'the', 'man', 'the', 'woman', 'would', 'most', 'likely', 'get', 'pregnant', 'and', 'leave']",1
"['be', 'there', 'man', 'i', 'can', 'talk', 'to']",1
"['can', 'i', 'please', 'speak', 'to', 'manager']",0
"['im', 'sure', 'you', 'know', 'lot', 'about', 'cleaning']",1
"['how', 'be', 'you', 'today']",0
"['the', 'only', 'reason', 'you', 'would', 'be', 'in', 'the', 'boardroom', 'be', 'if', 'you', 'be', 'bring', 'u', 'tea']",1
"['but', 'i', 'think', 'boy', 'ultimately', 'be', 'easy', 'than', 'girl']",1
"['i', 'love', 'the', 'woman', 'movement', 'especially', 'when', 'walk', 'behind', 'it']",1
"['make', 'sure', 'you', 'wear', 'your', 'low', 'cut', 'top', 'to', 'meet', 'with', 'that', 'client']",1
"['good', 'luck', 'with', 'your', 'client', 'meeting']",0
"['you', 'wont', 'want', 'to', 'work', 'on', 'that', 'machine', 'you', 'might', 'break', 'fingernail']",1
"['i', 'couldnt', 'take', 'her', 'seriously', 'in', 'that', 'presentation', 'do', 'you', 'see', 'what', 'she', 'be', 'wear']",1
"['she', 'must', 'be', 'here', 'to', 'make', 'the', 'sandwich']",1
"['it', 'nice', 'to', 'finally', 'have', 'something', 'to', 'look', 'at', 'during', 'meeting']",1
"['oh', 'good', 'girl']",1
"['great', 'question', 'ill', 'get', 'back', 'to', 'you', 'on', 'that']",0
"['why', 'be', 'all', 'woman', 'so', 'bossy']",1
"['what', 'can', 'you', 'say', 'boy', 'will', 'be', 'boy']",1
"['be', 'meeting', 'about', 'work', 'or', 'bitching', 'seriously', 'guy']",1
"['one', 'like', 'you', 'you', 'will', 'not', 'last', 'long', 'here']",0
"['wow', 'madelyn', 'be', 'so', 'graceful']",0
"['well', 'karma', 'bitch', 'i', 'guess']",0
"['jenny', 'stop', 'you', 'be', 'be', 'bitch']",1
"['you', 'didnt', 'hear', 'it', 'from', 'but', 'she', 'to', 'be', 'the', 'big', 'bitch', 'around']",1
"['hey', 'i', 'just', 'want', 'to', 'check', 'in']",0
"['she', 'look', 'like', 'cow']",1
"['what', 'do', 'you', 'know', 'sherry', 'be', 'still', 'cunt']",1
"['you', 'have', 'to', 'have', 'your', 'work', 'do', 'on', 'time']",0
"['hold', 'on', 'could', 'you', 'run', 'that', 'by', 'one', 'more', 'time']",0
"['what', 'do', 'she', 'have', 'to', 'say', 'about', 'it']",0
"['nora', 'an', 'amaze', 'future', 'after', 'work', 'here', 'i', 'think', 'role', 'a', 'wicked', 'step', 'mother', 'she', 'just', 'need', 'to', 'age', 'bit']",1
"['my', 'frustration', 'with', 'kat', 'be', 'get', 'strong', 'and', 'strong', 'every', 'time', 'i', 'meet', 'with', 'her', 'and', 'her', 'team']",0
"['wow', 'sheila', 'be', 'nasty', 'piece', 'of', 'work', 'isnt', 'she']",1
"['which', 'one', 'of', 'you', 'just', 'say', 'that']",0
"['you', 'seem', 'angry', 'be', 'you', 'hormonal']",1
"['youre', 'especially', 'testy', 'today', 'be', 'you', 'on', 'your', 'period']",1
"['what', 'be', 'wrong', 'with', 'her', 'be', 'she', 'on', 'her', 'period']",1
"['suck', 'at', 'math', 'and', 'logic', 'be', 'requirement', 'for', 'be', 'woman']",1
"['you', 'seem', 'like', 'nice', 'girl', 'but', 'i', 'just', 'ask', 'that', 'you', 'dig', 'little', 'deeper', 'into', 'what', 'the', 'document', 'actually', 'say']",1
"['i', 'think', 'it', 'the', 'jaw', 'her', 'head', 'be', 'kinda', 'shape', 'like', 'home', 'plate', 'to', 'carry', 'on', 'the', 'baseball', 'motif']",1
"['this', 'be', 'probably', 'go', 'to', 'piss', 'off', 'you', 'feminist']",1
"['i', 'truly', 'support', 'the', 'feminist', 'movement']",0
"['a', 'youd', 'expect', 'she', 'very', 'low', 'iq']",1
"['call', 'sexist', 'but', 'i', 'think', 'some', 'woman', 'be', 'seriously', 'lack', 'knowledge']",1
"['feminism', 'be', 'respectable', 'ideal']",0
"['men', 'dont', 'belong', 'in', 'the', 'kitchen']",1
"['im', 'sorry', 'but', 'girl', 'be', 'just', 'really', 'unfunny']",1
"['i', 'actually', 'prefer', 'have', 'guy', 'in', 'charge', 'the', 'atmosphere', 'be', 'more', 'laid', 'back', 'and', 'fun', 'woman', 'be', 'too', 'serious']",1
"['when', 'you', 'commit', 'to', 'your', 'man', 'commit', 'to', 'the', 'gym', 'a', 'well', 'commit', 'to', 'the', 'kitchen', 'too']",1
"['woman', 'be', 'seriously', 'awful', 'driver']",1
"['woman', 'be', 'so', 'damn', 'stubborn']",1
"['she', 'be', 'blond', 'what', 'do', 'you', 'want']",1
"['woman', 'need', 'to', 'stop', 'be', 'call', 'girl']",0
"['why', 'be', 'woman', 'so', 'easily', 'confuse']",1
"['im', 'sexist', 'im', 'realist']",1
"['why', 'do', 'female', 'manager', 'think', 'they', 'be', 'god', 'great', 'creation', 'they', 'be', 'way', 'too', 'power', 'hungry']",1
"['it', 'isnt', 'sexist', 'if', 'youre', 'right']",1
"['i', 'dont', 'think', 'woman', 'can', 'make', 'tough', 'decision']",1
"['im', 'not', 'sexist', 'a', 'sexism', 'be', 'wrong', 'and', 'im', 'man', 'so', 'im', 'never', 'wrong']",1
"['i', 'prefer', 'the', 'male', 'voice', 'to', 'the', 'female', 'voice', 'sound', 'more', 'normal']",1
"['that', 'be', 'very', 'well', 'put', 'i', 'agree', 'with', 'her']",0
"['she', 'great', 'idea', 'but', 'the', 'statistic', 'show', 'different', 'story']",0
"['i', 'understood', 'her', 'point', 'quite', 'clearly', 'i', 'still', 'think', 'her', 'idea', 'need', 'little', 'more', 'development']",0
"['give', 'her', 'little', 'more', 'time', 'to', 'work', 'then', 'you', 'can', 'expect', 'great', 'result']",0
"['if', 'you', 'believe', 'that', 'youre', 'either', 'woman', 'or', 'gay']",1
"['i', 'like', 'my', 'pickle', 'like', 'my', 'woman', 'thin', 'and', 'cut']",1
"['if', 'you', 'want', 'to', 'be', 'intelligent', 'hang', 'out', 'with', 'men']",1
"['if', 'she', 'invite', 'you', 'to', 'client', 'dinner', 'you', 'should', 'go', 'she', 'pick', 'restaurant', 'that', 'cook', 'the', 'best', 'food']",0
"['i', 'hate', 'it', 'when', 'men', 'say', 'woman', 'should', 'take', 'shes', 'so', 'hot', 'or', 'id', 'fuck', 'her', 'a', 'compliment', 'and', 'not', 'objectification']",0
"['im', 'not', 'sexist', 'woman', 'be', 'to', 'be', 'treat', 'a', 'any', 'other', 'person', 'on', 'this', 'planet']",0
"['woman', 'cant', 'park']",1
"['i', 'mean', 'disrespect', 'by', 'this', 'but', 'woman', 'be', 'much', 'more', 'difficult', 'to', 'manage', 'than', 'men', 'for']",1
"['history', 'show', 'u', 'that', 'empire', 'fall', 'when', 'woman', 'take', 'control', 'of', 'them']",1
"['i', 'believe', 'men', 'and', 'woman', 'have', 'their', 'role', 'in', 'the', 'house']",1
"['guy', 'be', 'well', 'than', 'woman', 'in', 'everything', 'not', 'sexist', 'but', 'it', 'just', 'because', 'we', 'be', 'competitive', 'a', 'hell']",1
"['rape', 'be', 'not', 'punchline']",0
"['why', 'be', 'the', 'woman', 'in', 'accounting', 'so', 'bitchy']",1
"['woman', 'always', 'see', 'thing', 'how', 'they', 'want', 'them', 'to', 'be', 'instead', 'of', 'the', 'reality']",1
"['you', 'want', 'equality', 'learn', 'to', 'not', 'pull', 'the', 'im', 'woman', 'card']",1
"['i', 'hate', 'rich', 'snobby', 'woman', 'that', 'dont', 'know', 'there', 'place', 'in', 'front', 'of', 'men']",1
"['dont', 'get', 'wrong', 'im', 'not', 'sexist', 'but', 'see', 'female', 'engineer', 'on', 'site', 'be', 'weird']",1
"['female', 'already', 'have', 'equal', 'right', 'stop', 'complain']",1
"['they', 'be', 'really', 'make', 'it', 'hard', 'to', 'act', 'otherwise']",0
"['wow', 'she', 'go', 'from', 'zero', 'to', 'cunt', 'in', 'eight', 'second']",1
"['hey', 'now', 'my', 'opinion', 'be', 'just', 'a', 'valid', 'a', 'hers']",0
"['her', 'opinion', 'be', 'just', 'a', 'valid', 'a', 'his']",0
"['the', 'majority', 'of', 'girl', 'be', 'useless', 'in', 'group', 'project']",1
"['i', 'think', 'ashley', 'will', 'know', 'her', 'way', 'around', 'hq', 'a', 'well', 'she', 'do', 'around', 'lloyd', 'jock']",1
"['do', 'nothing', 'do', 'require', 'an', 'inordinate', 'amount', 'of', 'skill']",0
"['melissa', 'shouldnt', 'talk', 'economics', 'thats', 'like', 'talk', 'about', 'new', 'designer', 'purse', 'or', 'something']",1
"['i', 'can', 'say', 'with', 'certainty', 'i', 'havent', 'have', 'an', 'intelligent', 'conversation', 'with', 'female', 'under', 'thirty']",1
"['why', 'be', 'woman', 'allow', 'opinion', 'again']",1
"['i', 'think', 'she', 'should', 'get', 'promotion', 'for', 'her', 'look', 'alone']",1
"['sorry', 'but', 'i', 'do', 'believe', 'in', 'certain', 'gender', 'role', 'when', 'it', 'come', 'to', 'marriage']",1
"['ed', 'zimmerman', 'make', 'pledge', 'to', 'not', 'attend', 'allmale', 'tech', 'event']",0
"['the', 'report', 'look', 'like', 'it', 'be', 'make', 'by', 'five', 'year', 'old', 'little', 'girl']",1
"['these', 'new', 'girl', 'think', 'way', 'too', 'highly', 'of', 'themselves', 'theyre', 'not', 'even', 'attractive']",1
"['who', 'invite', 'miss', 'hottie']",1
"['good', 'luck', 'to', 'her', 'and', 'let', 'u', 'know', 'how', 'she', 'do']",0
"['the', 'light', 'be', 'out', 'at', 'the', 'statue', 'of', 'libertythats', 'one', 'more', 'woman', 'america', 'can', 'not', 'do', 'without']",0
"['it', 'less', 'of', 'day', 'without', 'woman', 'and', 'more', 'of', 'day', 'without', 'feminist', 'which', 'to', 'be', 'quite', 'honest', 'sound', 'lovely']",1
"['ill', 'pas', 'on', 'day', 'without', 'woman', 'real', 'woman', 'dont', 'abandon', 'their', 'responsibility']",1
"['we', 'cant', 'achieve', 'any', 'of', 'our', 'goal', 'without', 'the', 'participation', 'of', 'woman', 'and', 'girl']",0
"['youve', 'get', 'strong', 'grip', 'for', 'girl']",1
"['she', 'party', 'like', 'man', 'but', 'love', 'like', 'woman']",1
"['we', 'all', 'need', 'sister', 'daughter', 'mother', 'wife', 'thank', 'you', 'to', 'those', 'who', 'complete', 'u']",0
"['our', 'woman', 'in', 'law', 'enforcement', 'be', 'crucial', 'to', 'our', 'successprotecting', 'and', 'serve', 'each', 'and', 'every', 'day']",0
"['it', 'be', 'such', 'nice', 'day', 'out', 'today', 'nice', 'and', 'quiet', 'the', 'road', 'be', 'clear', 'it', 'mustve', 'be', 'day', 'without', 'woman']",1
"['look', 'like', 'girl', 'act', 'like', 'lady', 'think', 'like', 'man', 'and', 'work', 'like', 'dog']",1
"['woman', 'posse', 'unique', 'combination', 'of', 'will', 'determination', 'and', 'emotionsthey', 'can', 'protect', 'support', 'and', 'uplift', 'the', 'family', 'and', 'society']",0
"['thanks', 'to', 'woman', 'everywhere', 'for', 'all', 'you', 'do', 'to', 'help', 'create', 'wiser', 'strong', 'kinder', 'and', 'happier', 'atmosphere']",0
"['woman', 'be', 'most', 'respectable', 'in', 'our', 'society', 'and', 'culture', 'i', 'believe', 'in', 'give', 'them', 'due', 'respect', 'matter', 'what', 'the', 'situation', 'be']",0
"['my', 'brother', 'come', 'in', 'from', 'school', 'tell', 'stuck', 'up', 'for', 'girl', 'get', 'bully', 'bc', 'hate', 'see', 'girl', 'upset', 'that', 'be', 'proper', 'gentleman']",0
"['we', 'cant', 'be', 'here', 'without', 'the', 'participation', 'of', 'woman', 'and', 'girl']",0
"['woman', 'arent', 'create', 'weaker', 'than', 'men', 'without', 'woman', 'everyones', 'nothing']",0
"['let', 'talk', 'about', 'how', 'girl', 'brain', 'be', 'a', 'good', 'a', 'boy']",0
"['five', 'foot', 'and', 'nine', 'inch', 'be', 'tall', 'for', 'girl', 'right']",0
"['youre', 'woman', 'and', 'you', 'dont', 'equate', 'to', 'shit', 'bc', 'you', 'arent', 'man', 'and', 'you', 'cant', 'do', 'anything', 'a', 'good', 'a', 'man', 'ever', 'will']",1
"['man', 'need', 'not', 'fear', 'his', 'wife', 'income']",0
"['real', 'woman', 'dont', 'go', 'along', 'with', 'day', 'without', 'woman', 'crap', 'it', 'fake', 'cause', 'manufacture', 'by', 'manhating', 'feminist', 'and', 'lesbian', 'stop', 'it']",1
"['nurture', 'by', 'my', 'mother', 'found', 'true', 'love', 'in', 'my', 'wife', 'and', 'understood', 'real', 'meaning', 'of', 'life', 'with', 'my', 'daughter', 'im', 'bless']",0
"['should', 'guy', 'open', 'the', 'car', 'door', 'for', 'girl']",0
"['you', 'know', 'youre', 'pretty', 'smart', 'for', 'girl']",1
"['good', 'wife', 'know', 'it', 'doesnt', 'matter', 'who', 'do', 'managerial', 'job', 'a', 'long', 'a', 'it', 'the', 'best', 'man', 'for', 'the', 'job']",1
"['because', 'behind', 'every', 'great', 'woman', 'there', 'be', 'man']",0
"['we', 'want', 'to', 'construct', 'different', 'world', 'of', 'work', 'for', 'woman']",0
"['woman', 'be', 'the', 'future', 'rise', 'up', 'stand', 'up', 'shine', 'on']",0
"['a', 'man', 'i', 'would', 'have', 'word', 'that', 'sentence', 'twice', 'a', 'good']",1
"['every', 'time', 'you', 'mistreat', 'woman', 'you', 'give', 'up', 'the', 'right', 'to', 'be', 'treat', 'like', 'man']",0
"['world', 'in', 'transition', 'need', 'feminine', 'energy']",0
"['i', 'dont', 'care', 'how', 'hard', 'you', 'think', 'you', 'be', 'if', 'you', 'cant', 'act', 'like', 'man', 'one', 'will', 'respect', 'you']",1
"['what', 'would', 'the', 'world', 'do', 'without', 'woman', 'and', 'girl']",0
"['we', 'have', 'always', 'be', 'the', 'catalyst', 'and', 'change', 'maker', 'we', 'should', 'reject', 'misogyny', 'at', 'every', 'turn']",0
"['but', 'i', 'figure', 'you', 'be', 'tough', 'enough', 'to', 'take', 'it', 'like', 'man', 'i', 'guess', 'not']",1
"['should', 'woman', 'act', 'like', 'man', 'in', 'business']",0
"['woman', 'be', 'just', 'a', 'good', 'a', 'man']",0
"['when', 'man', 'be', 'ambitious', 'it', 'see', 'a', 'good', 'thing', 'and', 'when', 'woman', 'be', 'described', 'a', 'ambitious', 'it', 'see', 'a', 'complete', 'negative']",0
"['she', 'think', 'like', 'man', 'but', 'act', 'like', 'lady']",1
"['dont', 'think', 'that', 'woman', 'to', 'act', 'like', 'man', 'to', 'show', 'that', 'she', 'strength']",0
"['im', 'just', 'a', 'good', 'a', 'man', 'i', 'dont', 'need', 'special', 'day', 'to', 'celebrate', 'that']",0
"['woman', 'isnt', 'worth', 'damn', 'unless', 'she', 'can', 'kick', 'as', 'like', 'man']",1
"['to', 'be', 'consider', 'half', 'a', 'good', 'woman', 'to', 'work', 'twice', 'a', 'hard', 'a', 'man']",0
"['when', 'life', 'give', 'you', 'lemon', 'squirt', 'them', 'into', 'the', 'eye', 'of', 'people', 'who', 'tell', 'you', 'that', 'you', 'be', 'smart', 'for', 'girl']",0
"['woman', 'who', 'cant', 'cook', 'can', 'just', 'do', 'a', 'good', 'a', 'keep', 'man', 'a', 'the', 'woman', 'who', 'can', 'cook', 'if', 'you', 'ask']",0
"['personally', 'i', 'think', 'woman', 'shouldnt', 'play', 'soccer', 'or', 'drive', 'truck', 'because', 'it', 'not', 'elegant']",1
"['woman', 'who', 'strives', 'to', 'be', 'like', 'man', 'lack', 'ambition']",0
"['in', 'predominantly', 'male', 'work', 'place', 'be', 'good', 'at', 'what', 'you', 'do', 'equates', 'to', 'be', 'do', 'it', 'like', 'man']",1
"['there', 'be', 'limit', 'to', 'what', 'we', 'a', 'woman', 'can', 'accomplish']",0
"['act', 'like', 'man', 'or', 'else']",1
"['give', 'woman', 'in', 'their', 'advanced', 'year', 'respect', 'they', 'rightly', 'deserve']",0
"['what', 'good', 'man', 'can', 'do', 'woman', 'can', 'do', 'just', 'a', 'well', 'or', 'even', 'well', 'together', 'we', 'be', 'best']",0
"['well', 'im', 'not', 'dumb', 'but', 'i', 'cant', 'understand', 'why', 'she', 'walk', 'like', 'woman', 'and', 'talk', 'like', 'man']",1
"['here', 'advice', 'for', 'woman', 'think', 'like', 'man', 'act', 'like', 'woman']",1
"['she', 'look', 'like', 'man']",1
"['woman', 'be', 'territorial', 'about', 'their', 'kitchen', 'it', 'kinda', 'like', 'man', 'and', 'his', 'garage']",1
"['time', 'to', 'get', 'up', 'and', 'walk', 'like', 'man']",1
"['there', 'be', 'good', 'reason', 'woman', 'can', 'not', 'achieve', 'just', 'a', 'much', 'a', 'man', 'if', 'she', 'want']",0
"['marriage', 'be', 'the', 'ultimate', 'happiness', 'for', 'girl']",1
"['im', 'not', 'female', 'chauvinist', 'but', 'if', 'in', 'this', 'modern', 'good', 'man', 'be', 'judged', 'a', 'one', 'that', 'pay', 'the', 'bill', 'good', 'woman', 'be', 'one', 'that', 'can', 'cook']",1
"['woman', 'be', 'physically', 'incapable', 'of', 'do', 'a', 'good', 'of', 'job', 'a', 'man', 'in', 'many', 'industry', 'it', 'basic', 'anatomy']",1
"['she', 'deserves', 'the', 'love', 'she', 'need', 'and', 'the', 'respect', 'she', 'be', 'worth']",0
"['huge', 'shoutout', 'to', 'all', 'the', 'lady', 'that', 'prove', 'they', 'could', 'do', 'man', 'job', 'just', 'a', 'good', 'a', 'man', 'could', 'when', 'everyone', 'thought', 'it', 'be', 'impossible']",0
"['mountain', 'be', 'high', 'enough', 'for', 'girl', 'to', 'climb']",0
"['wow', 'youre', 'really', 'tall', 'for', 'girl', 'howd', 'you', 'get', 'so', 'tall', 'baby']",1
"['these', 'bitch', 'so', 'worried', 'about', 'think', 'like', 'man', 'they', 'dont', 'know', 'what', 'it', 'be', 'to', 'be', 'woman']",1
"['elegant', 'and', 'beautiful', 'cheap', 'and', 'trashy', 'nothing', 'more', 'unattractive', 'than', 'girl', 'banging', 'on', 'about', 'how', 'hot', 'hey', 'be']",1
"['it', 'melt', 'because', 'you', 'didnt', 'put', 'it', 'in', 'the', 'freezer', 'before', 'you', 'serve', 'it', 'you', 'dumb', 'skank']",1
"['i', 'can', 'not', 'stop', 'look', 'at', 'nikkis', 'dreadful', 'black', 'crooked', 'bra']",1
"['try', 'to', 'find', 'something', 'pretty', 'about', 'these', 'blonde', 'idiot']",1
"['she', 'know', 'how', 'to', 'walk', 'you', 'go', 'girl', 'one', 'foot', 'in', 'front', 'of', 'the', 'other']",1
"['stick', 'to', 'your', 'day', 'job', 'girl']",1
"['katie', 'and', 'nikki', 'have', 'definitely', 'prove', 'theyre', 'not', 'just', 'dumb', 'blonde', 'with', 'pretty', 'face', 'theyre', 'just', 'dumb', 'blonde']",1
"['yes', 'we', 'get', 'it', 'youre', 'pretty', 'tone', 'down', 'the', 'self', 'promo', 'and', 'just', 'cook']",1
"['they', 'start', 'to', 'act', 'and', 'look', 'like', 'couple', 'of', 'b', 'grade', 'hooker', 'to']",1
"['classy', 'and', 'elegant', 'be', 'one', 'way', 'of', 'put', 'it']",0
"['sorry', 'but', 'jessie', 'be', 'be', 'real', 'cunt', 'youre', 'not', 'all', 'that']",1
"['katies', 'fatty']",1
"['save', 'them', 'cause', 'want', 'to', 'bang', 'them']",1
"['do', 'you', 'get', 'it', 'you', 'blonde']",1
"['ah', 'girl', 'you', 'be', 'dumb', 'if', 'you', 'really', 'believe', 'you', 'have', 'pretty', 'face']",1
"['just', 'want', 'to', 'slap', 'the', 'stupid', 'out', 'of', 'these', 'bimbo']",1
"['colin', 'be', 'pretty', 'nice', 'to', 'the', 'girl', 'do', 'you', 'think', 'he', 'give', 'them', 'the', 'dick']",1
"['i', 'dont', 'know', 'whats', 'big', 'her', 'forehead', 'or', 'her', 'as']",1
"['hate', 'these', 'blonde', 'bitch', 'already']",1
"['really', 'bitch', 'really', 'get', 'on', 'the', 'runway', 'and', 'back', 'in', 'the', 'kitchen']",1
"['what', 'dumb', 'bitch']",1
"['put', 'bra', 'on', 'nikki', 'you', 'dumb', 'slut']",1
"['these', 'girl', 'need', 'to', 'go', 'their', 'vanity', 'be', 'make', 'ill', 'very', 'unattractive']",1
"['i', 'wonder', 'which', 'of', 'the', 'blonde', 'moll', 'screw', 'the', 'manager', 'to', 'get', 'that', 'job', 'probably', 'both']",1
"['sassy', 'halfway', 'between', 'slut', 'and', 'classy']",1
"['these', 'girl', 'really', 'put', 'the', 'as', 'in', 'sas']",1
"['suck', 'on', 'that', 'whore']",1
"['how', 'do', 'you', 'sleep', 'at', 'night', 'cathy', 'you', 'cunt']",1
"['she', 'may', 'be', 'bitch', 'but', 'let', 'be', 'honest', 'the', 'blonde', 'werent', 'too', 'far', 'behind']",1
"['seriously', 'nikki', 'keep', 'your', 'arm', 'down', 'to', 'hide', 'the', 'bingo', 'wing', 'and', 'back', 'flab']",1
